CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,JURISDICTION_CODE,PARKS_NM,HADEVELOPT,HOUSING_PSA,X_COORD_CD,Y_COORD_CD,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,Latitude,Longitude,Lat_Lon,PATROL_BORO,STATION_NAME,VIC_AGE_GROUP,VIC_RACE,VIC_SEX
623816539,07/30/2007,15:00:00,07/30/2007,15:20:00,32,07/30/2007,344,ASSAULT 3 & RELATED OFFENSES,113,"MENACING,UNCLASSIFIED",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,NA,,NA,1000313,234249,,,,,40.809628853,-73.941975579,"(40.809628853, -73.941975579)",PATROL BORO MAN NORTH,,,BLACK,F
462713592,09/22/2006,16:20:00,09/22/2006,16:29:00,114,09/22/2006,341,PETIT LARCENY,333,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,QUEENS,INSIDE,LIQUOR STORE,N.Y. POLICE DEPT,0,NA,,NA,1005838,218383,,,,,40.76606917,-73.922068104,"(40.76606917, -73.922068104)",PATROL BORO QUEENS NORTH,,25-44,WHITE,M
922737262,09/08/2006,10:35:00,09/08/2006,10:37:00,114,09/08/2006,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,QUEENS,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,NA,,NA,1007060,224020,,WHITE HISPANIC,F,,40.781538186,-73.917637516,"(40.781538186, -73.917637516)",PATROL BORO QUEENS NORTH,,25-44,WHITE,M
327707128,12/27/2006,13:00:00,,,43,12/27/2006,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,BRONX,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,NA,,NA,1021182,244763,25-44,BLACK HISPANIC,M,,40.838424184,-73.866530759,"(40.838424184, -73.866530759)",PATROL BORO BRONX,,,BLACK HISPANIC,F
336285259,12/07/2010,15:15:00,,,14,12/07/2010,341,PETIT LARCENY,333,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,CLOTHING/BOUTIQUE,N.Y. POLICE DEPT,0,NA,,NA,987873,212315,,,,,40.74943967,-73.986925574,"(40.74943967, -73.986925574)",PATROL BORO MAN SOUTH,,,UNKNOWN,D
743692038,05/30/2008,18:30:00,,,120,05/31/2008,351,CRIMINAL MISCHIEF & RELATED OF,254,"MISCHIEF, CRIMINAL 4, OF MOTOR",COMPLETED,MISDEMEANOR,STATEN ISLAND,,STREET,N.Y. POLICE DEPT,0,NA,,NA,953709,165429,,,,,40.620696413,-74.110015278,"(40.620696413, -74.110015278)",PATROL BORO STATEN ISLAND,,45-64,WHITE,M
854978845,08/09/2006,20:00:00,08/09/2006,20:15:00,34,08/09/2006,341,PETIT LARCENY,321,"LARCENY,PETIT FROM AUTO",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,NA,,NA,1004405,253314,,,,,40.861948368,-73.927136388,"(40.861948368, -73.927136388)",PATROL BORO MAN NORTH,,,UNKNOWN,D
535725869,04/19/2011,13:40:00,04/19/2011,14:00:00,72,04/19/2011,341,PETIT LARCENY,338,"LARCENY,PETIT FROM BUILDING,UN",COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,VARIETY STORE,N.Y. POLICE DEPT,0,NA,,NA,979515,171943,,,,,40.638627351,-74.01706229,"(40.638627351, -74.01706229)",PATROL BORO BKLYN SOUTH,,25-44,ASIAN / PACIFIC ISLANDER,F
112409287,08/11/2008,22:00:00,08/12/2008,08:00:00,122,08/12/2008,110,GRAND LARCENY OF MOTOR VEHICLE,441,"LARCENY,GRAND OF AUTO",COMPLETED,FELONY,STATEN ISLAND,FRONT OF,STREET,N.Y. POLICE DEPT,0,NA,,NA,946130,148614,,,,,40.574513315,-74.137221189,"(40.574513315, -74.137221189)",PATROL BORO STATEN ISLAND,,45-64,WHITE HISPANIC,M
595595881,08/21/2007,04:00:00,,,42,08/24/2007,109,GRAND LARCENY,405,"LARCENY,GRAND BY THEFT OF CREDIT CARD",COMPLETED,FELONY,BRONX,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,NA,BUTLER,776,1009695,243535,,,,,40.835094247,-73.908048915,"(40.835094247, -73.908048915)",PATROL BORO BRONX,,45-64,WHITE HISPANIC,F
867852355,04/19/2006,04:30:00,,,103,04/19/2006,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,QUEENS,INSIDE,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0,NA,,NA,,,,UNKNOWN,M,,,,,PATROL BORO QUEENS SOUTH,,25-44,BLACK,M
367231477,05/05/2011,08:42:00,05/05/2011,08:42:00,52,05/06/2011,351,CRIMINAL MISCHIEF & RELATED OF,259,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,NA,,NA,1014605,256477,25-44,WHITE HISPANIC,M,,40.870600658,-73.890246693,"(40.870600658, -73.890246693)",PATROL BORO BRONX,,25-44,WHITE HISPANIC,F
782814737,02/08/2009,01:00:00,,,103,02/11/2009,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,QUEENS,FRONT OF,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0,NA,,NA,1043727,196981,25-44,BLACK,M,,40.707152425,-73.785477228,"(40.707152425, -73.785477228)",PATROL BORO QUEENS SOUTH,,25-44,BLACK,F
671051787,09/24/2007,21:00:00,09/24/2007,22:10:00,120,09/25/2007,126,MISCELLANEOUS PENAL LAW,461,UNAUTHORIZED USE VEHICLE 2,COMPLETED,FELONY,STATEN ISLAND,FRONT OF,STREET,N.Y. POLICE DEPT,0,NA,,NA,950019,169519,,WHITE,M,,40.631909107,-74.123328007,"(40.631909107, -74.123328007)",PATROL BORO STATEN ISLAND,,25-44,WHITE,F
347962932,11/06/2010,16:55:00,11/06/2010,16:55:00,115,11/07/2010,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,QUEENS,INSIDE,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0,NA,,NA,1016447,217071,25-44,WHITE HISPANIC,M,,40.7624358,-73.883775609,"(40.7624358, -73.883775609)",PATROL BORO QUEENS NORTH,,45-64,WHITE HISPANIC,M
424366390,11/29/2006,10:55:00,,,18,11/29/2006,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,MANHATTAN,INSIDE,COMMERCIAL BUILDING,N.Y. POLICE DEPT,0,NA,,NA,990319,217877,,UNKNOWN,M,,40.764704604,-73.978092624,"(40.764704604, -73.978092624)",PATROL BORO MAN SOUTH,,45-64,WHITE,M
379710766,11/05/2008,10:50:00,11/05/2008,11:30:00,45,11/19/2008,109,GRAND LARCENY,438,"LARCENY,GRAND FROM BUILDING (NON-RESIDENCE) UNATTENDED",COMPLETED,FELONY,BRONX,INSIDE,ATM,N.Y. POLICE DEPT,0,NA,,NA,1032047,242037,25-44,BLACK,M,,40.830889993,-73.82728462,"(40.830889993, -73.82728462)",PATROL BORO BRONX,,,UNKNOWN,D
412770036,06/26/2011,16:30:00,06/26/2011,16:40:00,44,06/26/2011,235,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,NA,,NA,1008560,244078,,,,,40.836587823,-73.912148581,"(40.836587823, -73.912148581)",PATROL BORO BRONX,,,UNKNOWN,E
161638274,09/21/2007,00:05:00,09/21/2007,00:10:00,61,09/21/2007,105,ROBBERY,399,"ROBBERY,COMMERCIAL UNCLASSIFIED",COMPLETED,FELONY,BROOKLYN,INSIDE,GAS STATION,N.Y. POLICE DEPT,0,NA,,NA,991283,154367,,BLACK,M,,40.590383331,-73.974678892,"(40.590383331, -73.974678892)",PATROL BORO BKLYN SOUTH,,45-64,WHITE,M
720161392,07/12/2008,04:50:00,07/12/2008,04:55:00,115,07/12/2008,121,CRIMINAL MISCHIEF & RELATED OF,269,"MISCHIEF,CRIMINAL,    UNCL 2ND",COMPLETED,FELONY,QUEENS,INSIDE,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0,NA,,NA,1021710,214007,,,,,40.754005179,-73.86479415,"(40.754005179, -73.86479415)",PATROL BORO QUEENS NORTH,,,WHITE HISPANIC,M
111045192,07/06/2006,15:10:00,,,24,07/06/2006,343,OTHER OFFENSES RELATED TO THEF,478,"THEFT OF SERVICES, UNCLASSIFIE",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,GAS STATION,N.Y. POLICE DEPT,0,NA,,NA,991418,229149,,,,,40.795642443,-73.974113258,"(40.795642443, -73.974113258)",PATROL BORO MAN NORTH,,25-44,ASIAN / PACIFIC ISLANDER,D
473857203,06/16/2010,15:18:00,,,47,06/16/2010,235,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",COMPLETED,MISDEMEANOR,BRONX,REAR OF,OPEN AREAS (OPEN LOTS),N.Y. POLICE DEPT,0,NA,,NA,1022326,262669,,,,,40.887565833,-73.862294672,"(40.887565833, -73.862294672)",PATROL BORO BRONX,,,UNKNOWN,E
159864051,01/08/2007,20:30:00,,,13,01/16/2007,578,HARRASSMENT 2,637,"HARASSMENT,SUBD 1,CIVILIAN",COMPLETED,VIOLATION,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,NA,,NA,990742,208935,,UNKNOWN,,,40.740160775,-73.976574244,"(40.740160775, -73.976574244)",PATROL BORO MAN SOUTH,,25-44,BLACK,F
543668858,11/06/2009,23:15:00,,,43,11/07/2009,235,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSI",COMPLETED,MISDEMEANOR,BRONX,,STREET,N.Y. POLICE DEPT,0,NA,,NA,1024860,240944,,,,,40.827925994,-73.853261764,"(40.827925994, -73.853261764)",PATROL BORO BRONX,,,UNKNOWN,E
251465609,12/14/2009,11:00:00,,,75,12/14/2009,344,ASSAULT 3 & RELATED OFFENSES,113,"MENACING,UNCLASSIFIED",COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0,NA,,NA,1021210,189160,25-44,WHITE HISPANIC,M,,40.685808322,-73.86673527,"(40.685808322, -73.86673527)",PATROL BORO BKLYN NORTH,,18-24,WHITE HISPANIC,F
195384110,07/19/2006,21:47:00,,,40,07/19/2006,235,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSI",COMPLETED,MISDEMEANOR,BRONX,,,N.Y. POLICE DEPT,0,NA,,NA,1009783,234905,,,,,40.811407098,-73.90776374,"(40.811407098, -73.90776374)",PATROL BORO BRONX,,,UNKNOWN,E
